Year,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
197106,-2.701,-1.9209,0.0688,-1.9872,-3.1018,-0.2347,1.5709,-2.0029,0.3964,-1.6577,0.5603,-2.4004,-0.101,-2.0883,-3.0063,3.7054,1.9628,-0.0232,-3.5163,-0.3544,0.9942,-0.1124,1.303,-1.5231,-3.9903
197107,-0.3524,-1.5419,-4.3628,-6.5446,-8.4345,-1.2653,-4.126,-5.1559,-4.8043,-7.6929,-0.4643,-2.743,-4.1777,-4.3199,-9.9065,-2.3748,-3.5431,-4.8242,-5.1675,-8.38,-2.5578,-4.5412,-4.38,-7.8859,-9.6954
197108,0.3348,2.8404,5.3636,5.7564,3.7947,1.1187,3.1207,4.2189,6.9172,7.4221,-0.4963,3.5979,4.3781,8.4678,8.7228,0.6665,5.9603,5.65,5.1259,10.9471,1.096,6.4164,7.0628,3.7124,10.373
197109,-2.9374,-1.9515,0.437,-0.5856,-1.0514,-2.9072,-1.336,-3.0183,0.3062,-1.7316,-1.2518,-0.1551,-1.3842,1.005,-0.615,-1.4506,-0.9506,-0.0127,1.216,-2.2419,0.0144,-0.3385,-1.5015,-1.1714,-3.9283
197110,-5.4707,-3.7833,-5.1241,-6.3964,-8.2762,-1.7324,-2.5058,-5.3532,-5.546,-7.3067,-1.5106,-6.9738,-7.7795,-5.488,-8.3213,-0.0943,-5.5339,-5.1705,-5.4551,-5.0155,-2.1246,-3.7529,-6.9858,-8.1455,-6.5658
197111,-1.9922,-2.6614,-4.028,-5.9992,-5.5503,-2.0018,-1.9275,-2.6013,-1.1169,-2.625,-1.4288,-0.6681,-2.6179,-0.1406,-3.9123,-0.9566,-1.5616,-1.3628,-1.4427,-0.7955,0.9933,0.525,-0.3424,0.5212,2.4822
197112,8.57,8.5985,11.7139,12.7405,14.2724,9.5127,10.2429,13.8421,12.1808,15.9053,6.5269,10.3805,12.9675,11.6412,13.1937,7.9964,11.2685,10.0867,11.0992,12.0318,7.8074,8.6159,10.0951,8.6863,9.3348
197201,8.2766,10.6595,11.6754,12.3368,15.8232,3.0944,7.8193,5.9144,7.2275,9.9475,3.1197,6.2744,3.1878,7.8598,6.3725,1.2388,2.0928,2.6914,1.986,10.8166,0.6804,1.5498,3.3877,7.1415,9.6729
197202,1.0909,3.8793,1.9965,3.805,5.0498,0.3461,2.3254,4.7479,5.9957,3.0163,0.7382,4.1076,4.2148,2.7875,5.2525,-1.318,4.6842,2.9128,3.626,2.0297,2.5686,2.8125,3.3562,7.1035,5.5512
197203,-1.9173,-0.1536,-1.2139,-1.4881,-0.8392,0.9039,-0.4247,2.228,-1.604,0.281,-0.2794,1.8187,0.6972,1.7651,0.9068,1.6772,1.6321,0.1788,1.0104,-0.0618,-0.2749,2.7642,0.9767,-2.4142,1.2964
197204,-3.4808,1.405,1.8789,0.2628,-0.0974,-1.7195,-1.4875,2.4086,2.1093,1.778,-1.0699,-0.7365,-0.5293,2.1356,-0.4069,-1.8272,0.7826,0.5459,1.4256,-0.2783,0.9671,-0.1742,2.0039,2.6769,0.8388
197205,-0.3796,-2.5056,-2.7784,-2.5822,-2.8446,-0.8428,-2.2617,-2.5379,-1.407,-2.9805,-0.0855,-0.3753,1.4336,-0.8796,-1.2675,-0.3841,1.6286,-1.2668,0.2743,1.902,2.5727,1.3811,3.3481,3.3984,3.5861
197206,-2.9334,-1.9713,-3.4252,-3.6261,-4.037,0.5968,-2.3537,-0.3722,0.1525,-4.6084,-1.7616,-1.2148,-2.0876,-1.6204,-6.3487,-0.5312,-3.4294,-5.1767,-3.7297,-7.1052,-0.3564,-2.3254,-1.8575,-5.6125,-10.7056
197207,-0.4598,-1.8853,-2.3977,-3.418,-5.1765,0.9423,-0.6392,-3.6845,-5.7042,-5.8962,-0.0835,-2.0171,-0.4283,-2.6875,-3.4884,-0.1381,-2.7268,-2.1121,-4.3189,-5.5825,0.6241,0.7395,0.192,-2.4169,-4.9506
197208,0.6503,2.225,1.6146,0.402,-0.8035,1.992,2.0477,2.8898,1.1707,-1.0767,3.7836,2.5348,2.4261,2.4277,2.8273,4.5147,3.8544,4.4077,3.0588,-1.1161,4.4602,3.7107,4.6695,1.3634,-1.2341
197209,-1.2371,-3.8832,-4.4495,-3.0858,-4.7888,-1.2954,-2.269,-3.5694,-4.3947,-4.4487,-0.5915,-2.0006,-1.9962,-2.1961,-2.2993,-0.2966,-1.6255,-2.9373,-5.0315,-3.5268,0.9608,-0.748,-1.8905,-3.324,-4.0742
197210,-0.288,-2.0512,-0.86,-3.4912,-3.3451,6.7497,-0.5082,-2.231,-0.9522,-1.6009,3.7887,0.075,-0.4889,-1.1359,-2.1051,2.5162,0.0809,-1.152,-0.6454,-1.8303,2.1637,-0.2289,0.4681,2.6137,-1.9199
197211,3.6372,7.8373,3.2879,6.2037,4.7793,7.0334,4.7162,6.2272,5.7384,6.0865,6.3973,5.5037,4.6352,7.2744,4.4893,7.2628,8.0428,6.8736,7.6624,8.7385,4.661,3.9374,4.2686,6.3686,6.0076
197212,-1.8638,1.0527,-1.2018,-3.1331,-2.736,0.0853,-0.87,-2.9234,-2.839,-2.8643,-0.3663,0.5303,-1.0936,-0.0504,-2.4873,-0.5758,-1.7708,-1.3653,-1.722,-1.1803,1.9653,1.4412,1.7117,2.0734,-6.232
197301,-2.2128,-4.5476,-1.4805,-2.0885,-4.3006,-4.6538,-3.986,-5.1734,-5.0293,-8.7116,-1.7684,-3.3982,-7.6399,-7.3543,-9.4762,-3.4793,-3.4854,-5.6897,-7.6359,-10.287,-0.936,0.6543,-6.6522,-8.4203,-10.1866
197302,-1.8053,-5.4719,-6.074,-8.1219,-9.5428,-2.1989,-3.7263,-4.6251,-8.7193,-11.8832,-3.4787,-6.5502,-5.9765,-9.7492,-11.316,-3.4542,-4.5876,-6.6881,-6.2786,-9.8188,-3.665,-2.2192,-4.6413,-4.7768,-9.1704
197303,-1.5907,-1.8678,-2.5356,-1.8906,-2.8334,0.6024,-2.6475,-0.9674,-3.7796,-2.9406,-0.9242,-2.774,-3.7345,-2.6462,-3.5441,-2.0796,-2.2488,-2.782,-3.3666,-2.5521,0.4798,-0.0432,-2.5328,-1.5575,-1.5959
197304,0.1746,-4.5575,-4.8092,-5.9716,-10.3691,-0.926,-4.315,-5.1722,-7.3253,-10.5737,-0.3772,-5.1774,-7.5946,-7.0453,-8.1252,-2.8534,-5.6037,-7.2417,-8.1344,-11.1821,-2.2203,-5.7995,-6.4726,-7.3004,-9.1524
197305,-3.6686,-7.3724,-6.7352,-8.2084,-10.8985,-3.3995,-6.396,-7.026,-9.4185,-11.4235,-1.2702,-5.2184,-6.2155,-8.3672,-11.1198,-0.9332,-4.6499,-6.8062,-6.9651,-8.572,-0.9544,-0.4624,-1.2127,-3.8347,-10.022
197306,-0.5266,-0.8942,-3.1579,-2.244,-4.7372,-0.0889,-4.5,-2.8113,-3.0292,-3.6084,0.2641,-0.4313,-3.09,-3.8641,-4.4954,-1.9848,-1.912,-3.7283,-4.6143,-5.016,0.5676,-0.5525,-3.2914,-3.0847,-8.45
197307,4.4541,6.7703,11.1196,13.0414,19.9148,1.6459,6.9003,10.6153,14.4619,19.4563,1.3993,6.1821,9.6916,13.4979,18.2518,-0.4631,10.86,13.3036,12.3884,17.6681,2.1994,4.2104,12.9824,9.0747,10.0216
197308,-4.0967,-4.3328,-6.0697,-5.7077,-7.6638,-1.4215,-5.8815,-5.3294,-6.0977,-5.6256,1.204,-2.4216,-3.1379,-3.2953,-3.264,-1.7561,-1.5719,-2.3457,-1.6867,-3.1528,-3.6641,-2.4353,-1.164,-5.9207,-3.0677
197309,4.6417,6.7998,8.6244,9.3861,9.1657,5.0135,9.6466,10.5766,12.9524,12.6787,6.6874,10.0789,12.9545,11.8541,14.4691,7.5596,11.7578,12.1011,10.3475,12.9017,4.0211,2.4138,7.7699,7.7439,5.1591
197310,1.5112,1.8834,1.5941,1.0243,-1.1704,0.2125,1.0672,4.0865,0.3354,-3.8059,0.1274,4.4835,0.0318,0.2267,-3.3855,-0.1239,0.2893,-0.6835,0.6296,-2.3862,-0.4281,1.0788,0.5634,-6.5823,8.1615
197311,-12.8357,-15.0181,-19.4176,-17.6347,-23.8085,-8.6998,-14.8365,-18.773,-19.4163,-23.2822,-9.3616,-14.6583,-18.8739,-19.5542,-24.8382,-9.4149,-16.4035,-18.8193,-13.149,-23.7511,-8.9017,-10.0623,-15.6826,-21.6532,-22.6035
197312,0.4036,-0.6527,-4.3079,-4.2008,-5.7979,-3.5676,-0.1589,0.043,-0.3264,-3.0682,1.6614,3.9463,2.0064,-0.1605,-1.4899,4.0019,3.2161,1.6958,3.3155,2.948,2.4826,0.1298,1.2731,-3.1189,6.7315
197401,13.5492,20.054,19.3645,15.2915,18.2916,13.0088,14.2576,9.1723,8.8527,12.9343,3.9182,6.801,8.1434,6.5305,11.8474,5.6873,2.9037,4.0925,-1.6832,4.4705,-2.5788,-0.0437,-0.7444,5.6542,5.4187
197402,1.212,0.0071,0.0934,-1.3872,-1.9018,0.4926,2.4343,2.7053,1.2208,0.6291,1.0779,1.3927,2.2889,-1.3229,1.2541,0.8814,-0.2697,0.3531,1.2163,4.3864,-0.2687,-0.2923,1.7339,1.5148,11.8783
197403,1.7748,0.0883,1.7599,0.6422,0.0645,-3.373,-0.313,1.7905,0.1834,-2.155,-2.3077,-1.5273,-1.3244,-1.0221,-4.2427,-2.3464,-2.7145,-4.0838,-3.9015,-2.6878,-1.881,-2.3454,-3.4838,-3.5742,-12.2944
197404,-4.1079,-4.0918,-6.0261,-5.7074,-5.6606,-7.803,-4.7689,-1.1432,-4.4163,-7.3225,-4.7976,-6.0557,-5.2969,-4.845,-5.4392,-8.9879,-5.3268,-7.0159,-4.7052,-4.1502,-4.2925,-3.5995,-3.8593,-4.8936,1.8508
197405,-5.7937,-6.9081,-8.836,-6.9579,-8.4941,-10.7554,-7.1083,-7.425,-7.8156,-8.9758,-9.0255,-7.8558,-7.1054,-9.3151,-7.9799,-6.1902,-7.8764,-7.3647,-10.0363,-2.6381,-2.0845,-1.9917,-3.1251,-5.5313,-1.8728
197406,2.1716,-1.922,-1.5517,-1.9314,-2.7379,-0.2244,-2.7672,-2.3408,-0.6375,-3.1782,-5.2073,-2.0437,-1.7517,-1.0119,-5.3216,-2.1659,-1.7369,-2.1863,-4.6885,-4.5301,-1.417,-0.6745,-3.3434,-6.3099,-10.8541
197407,-0.0002,-4.9762,-3.9003,-4.1328,-5.9362,-0.1652,-0.8175,-2.2124,-5.3288,-5.0569,0.7973,0.2261,-4.3862,-3.0641,-7.2289,0.6216,-3.6386,-5.0893,-5.62,-13.5185,-7.3146,-8.7591,-9.7276,-12.0691,-12.2972
197408,-8.5566,-7.4582,-7.1983,-7.5913,-8.6185,-5.555,-5.4215,-7.7557,-8.0653,-9.727,-6.5086,-8.2081,-8.9007,-8.5683,-7.7014,-8.4873,-9.4142,-9.765,-9.8784,-7.0388,-8.622,-8.5158,-8.4617,-5.8195,-8.9927
197409,-6.1109,-5.7097,-6.5739,-8.5522,-9.5718,-1.9166,-7.3338,-9.5891,-7.6411,-9.8359,-4.6174,-7.9855,-6.9912,-8.699,-11.9214,-5.4442,-6.9296,-8.8875,-9.7584,-12.5041,-10.499,-12.5589,-15.0324,-16.4717,-8.6576
197410,4.5554,12.1821,10.8715,10.5095,7.5634,9.5029,6.2371,8.6817,10.2548,11.2544,9.3136,11.2669,12.4954,8.8657,12.4216,13.0919,14.019,17.0754,14.8149,8.1064,19.239,14.8762,20.8804,7.7249,12.5062
197411,-3.9321,-5.7686,-7.1626,-5.5475,-5.8906,-0.7304,-5.078,-4.4571,-2.8596,-6.3782,-1.1726,-2.3874,-3.0702,-4.8907,-4.529,-0.387,-1.5279,-3.6361,-1.5159,-3.9242,-4.6778,-3.8266,-5.3922,-5.0626,-0.8256
197412,-7.7099,-4.3155,-7.4408,-9.0194,-10.6766,-7.6028,-4.8973,-6.3567,-7.2109,-7.359,-2.2175,-3.5966,-5.2265,-6.5186,-8.5477,-3.9733,-3.0385,-4.7529,-3.2901,-6.7484,-1.1767,-2.4153,-5.0129,-2.8983,-5.307
197501,23.6056,24.0405,29.1751,31.5939,39.5403,18.8205,24.1351,26.4533,25.4627,32.5433,21.6551,20.0784,20.5947,26.6732,32.6161,20.8845,21.4975,22.061,17.5946,35.0282,9.3482,14.412,13.8808,20.705,19.0791
197502,3.8784,4.888,2.8387,4.8616,5.004,3.294,1.9077,2.3217,3.5983,7.4882,1.6414,5.7564,3.1787,5.9027,8.0076,1.7157,2.8651,2.9961,5.7378,10.7751,5.8679,7.7657,8.5521,7.6449,7.9713
197503,0.7012,5.4654,7.5344,9.5289,13.9049,3.1658,4.9558,5.219,8.1121,9.4905,2.0264,3.5287,6.8444,10.0286,9.5389,-0.368,5.9157,7.7851,8.6291,14.9682,0.521,3.5263,5.0521,8.9318,2.5363
197504,0.3207,4.2924,2.319,2.4414,4.0215,0.0444,1.3806,4.4851,3.7521,5.3344,1.1165,5.0764,4.6196,4.139,7.2985,0.751,5.3031,4.8607,6.6599,11.2078,4.9214,3.058,9.4848,8.0599,11.7139
197505,3.5894,8.2325,6.1397,7.9502,7.942,2.766,3.2438,10.0966,11.5033,8.9945,5.2097,4.428,5.4703,8.0462,5.8983,7.0984,5.9274,6.0098,4.9683,5.8086,6.084,3.7973,2.8255,9.9243,6.1945
197506,6.2093,6.02,7.0933,8.0163,10.5276,7.8953,7.8198,4.9034,7.4119,7.4082,8.6287,5.4308,7.3704,6.7778,5.1393,8.2036,7.6305,6.2068,8.4157,10.2926,3.9646,5.1865,5.7282,8.7385,4.5133
197507,0.9511,0.7262,0.804,-0.7394,-2.8105,-1.299,-1.0737,-2.1914,-2.2157,-6.8554,-1.9916,-3.1007,-4.5908,-5.0425,-6.6911,-4.7257,-3.7867,-6.1282,-7.3639,-10.7556,-5.3793,-7.5854,-7.4176,-8.716,-9.5597
197508,-3.6541,-4.0896,-6.2985,-6.2714,-7.952,-2.1051,-5.3153,-3.6468,-6.2308,-6.7055,-1.8884,-2.6356,-5.7982,-4.7095,-5.1986,-3.1452,-3.8395,-2.1724,-5.2083,-2.6291,-1.2101,-1.2956,-2.7546,-4.1601,-5.6929
197509,-1.5837,-2.5432,-2.9463,-3.5275,-5.3294,-2.651,-3.0776,-3.2257,-4.8786,-4.5223,-2.4683,-2.444,-3.826,-4.2497,-6.9996,-2.586,-4.5559,-3.5442,-5.537,-4.0541,-3.4089,-2.8371,-5.2434,-4.9114,-2.6586
197510,0.6958,1.0911,2.3675,0.3142,2.8315,1.648,2.861,3.2746,2.6638,3.5596,2.3735,3.8326,1.4087,3.1841,3.4577,3.7916,4.9555,6.8144,6.73,10.3111,4.7282,8.3451,7.0318,7.4842,7.2849
197511,0.6016,2.4191,3.1168,2.6267,2.1568,1.2147,3.2209,3.7784,2.8028,2.0055,2.0641,3.7294,2.8609,3.0839,2.6699,3.3822,2.954,4.4804,4.9316,6.1666,1.911,4.4635,2.3442,3.6263,6.9671
197512,0.3715,-2.1268,-0.9132,-1.3712,-1.1863,-0.3485,-1.3092,-0.9561,-0.5817,-2.4087,0.2546,-0.4118,0.0298,-0.1026,0.0703,0.6026,0.4652,-0.7781,-2.3012,-2.724,-0.136,-2.1516,-1.6565,-2.9805,-4.4374
197601,10.8285,17.2962,19.973,21.1176,26.3182,11.6991,17.5426,18.3814,21.0256,21.1211,10.8709,15.0668,19.0826,18.6475,21.6262,11.0711,13.5789,15.5784,17.537,19.7322,9.8688,10.9385,14.4573,14.8396,14.7188
197602,7.0664,10.0758,11.6809,12.3176,14.0267,4.9095,7.4269,8.253,7.7121,11.4346,2.7637,5.592,7.2521,5.4951,8.5493,0.8202,2.7472,5.3088,2.8183,4.4589,-1.8834,-1.277,0.7415,0.8183,-0.655
197603,1.4,1.5697,0.8866,1.2579,2.6615,0.9569,1.5609,2.0326,1.0843,-0.1069,1.6728,1.6863,1.4341,1.0916,1.3508,1.5213,2.2438,2.2257,1.1483,1.2098,3.5002,3.5715,1.5676,1.1488,2.0734
197604,1.1139,-0.0539,-0.4878,-1.6133,-3.3942,-0.445,1.6247,0.4535,-2.3892,-3.7372,0.9181,-0.4936,-0.2573,-1.4714,-2.5511,-0.9381,0.1628,-0.6671,-2.5161,-4.145,0.74,-2.9097,-0.3884,-1.7888,-5.4932
197605,-0.3484,-0.8941,-1.3767,-2.6518,-5.2248,0.1948,-1.7759,-1.0214,-2.8901,-3.8546,-0.1792,-2.0267,-0.6682,-1.0086,-3.467,-1.5988,-2.8398,-0.4812,-1.3121,-0.8824,0.3065,-1.4086,-1.8988,-0.3334,-1.7095
197606,1.2897,1.9319,2.7276,2.4017,3.481,1.8161,2.9551,2.3178,3.2773,5.849,3.4172,5.8965,4.5787,5.4463,9.4285,5.3299,5.4574,6.2004,4.8368,4.1585,4.0774,4.1426,5.2341,5.8017,8.2283
197607,1.7938,1.176,1.1922,0.6843,-2.0119,2.6519,1.1914,1.3466,0.1925,-1.6447,0,1.1086,0.9941,-0.3338,-2.5948,1.4752,0.4766,-0.714,-1.011,-1.1663,0.1041,-1.364,-1.0746,-1.2217,-7.4225
197608,0.9521,-1.2462,-0.7178,-1.6421,-2.7106,-0.4057,-1.7901,-2.5691,-1.5601,-3.1687,-0.4598,-0.7866,1.1904,-2.9386,-5.2312,1.4588,0.5237,-1.5559,-2.4512,-2.5557,1.0829,0.7554,-1.6438,-2.083,-2.12
197609,2.0622,1.2548,2.1974,1.7356,1.6658,3.4095,2.733,3.1445,3.1912,2.9535,3.2256,2.1318,0.8703,3.286,3.266,3.1063,1.6722,1.0909,2.694,0.8181,3.7389,1.64,1.5108,1.5142,1.4839
197610,0.5527,-1.5668,-1.0613,-1.2734,-3.7289,-0.042,-1.3825,-2.343,-2.5799,-3.3502,0.5588,-1.633,-1.3863,-2.882,-3.9621,-0.2536,-2.1558,-0.676,-2.8364,-6.1034,-1.4052,-2.1527,-3.3527,-3.5223,-7.4574
197611,2.0369,1.7179,3.9436,3.515,3.54,2.026,1.8211,4.1803,5.2398,5.4257,2.7091,3.1577,5.3208,3.7984,5.681,2.8507,1.6458,3.1802,4.0062,4.4408,0.283,-1.1757,-0.1401,1.8173,-0.5895
197612,6.549,7.9591,9.9751,11.651,11.2804,9.2231,8.341,9.2881,9.5933,11.19,7.3295,8.4743,9.3557,8.0407,7.7546,6.9831,7.8667,7.0151,8.0952,8.3224,5.2302,4.9444,6.1836,4.4603,7.0693
197701,4.1976,4.4899,4.9484,3.5131,4.3054,2.4946,2.2156,0.6017,1.0239,1.1251,1.754,-0.6774,0.7022,-0.8371,-1.986,-0.4261,-1.9269,-3.4166,-3.3933,-6.0242,-2.3569,-6.6906,-6.7535,-6.5399,-14.2213
197702,0.9121,1.1469,0.453,-0.3074,-0.602,0.3084,0.0923,-0.0381,-1.1822,-2.042,-0.9433,-1.2158,-2.1542,-1.5874,-3.8193,-1.8625,-2.5167,-1.2928,-2.7303,-4.3838,-1.6109,-1.2532,-1.58,-3.2194,-2.1381
197703,1.0078,2.1164,0.7377,1.2481,0.1486,-1.5509,2.3532,-0.2761,1.0758,-0.5213,0.161,0.393,1.0032,0.5882,-0.0887,-0.8501,-0.0484,1.1842,-0.1687,-0.0017,-1.2063,-1.9715,-1.7652,0.7737,-2.967
197704,0.8419,1.7127,3.6395,2.4285,1.3922,1.2445,0.4664,2.0082,3.8194,2.3459,0.8377,2.1435,2.6002,1.0844,2.3767,2.4719,1.5531,2.1498,0.9668,-1.7365,1.343,-2.324,1.2896,1.3187,-2.9547
197705,0.7224,0.3871,0.8864,0.5338,-0.1934,0.1225,0.1443,-0.2639,-0.154,-0.1946,-0.4971,-0.4882,-0.3838,0.1484,0.7405,0.4322,-1.35,-1.8074,-0.3369,-0.9193,-0.3374,-2.7258,-1.4756,-0.1145,-3.2478
197706,3.4708,3.0638,5.5515,7.3702,8.5825,3.226,5.8907,5.5544,7.7018,10.2822,4.7003,5.0045,5.7483,7.344,10.2443,5.1223,4.6721,5.4524,5.8161,8.9516,4.0315,4.9266,5.5518,7.3142,7.3776
197707,1.5242,1.1214,1.4267,1.9372,0.5775,1.8872,0.1936,0.3328,-1.2548,-0.2469,0.5969,-0.7475,-1.28,-1.2504,0.2698,-1.0074,-1.5364,-1.9046,-2.1838,-2.4507,-1.4423,-1.4427,-1.0876,-2.0506,-2.6809
197708,0.5352,-0.7745,-0.057,-0.6614,-0.7404,-1.4709,-0.1475,-0.8233,-1.1004,-0.3937,-1.7208,-1.5464,-0.6642,0.2719,2.2189,-2.1467,-2.2838,-0.6686,-1.8515,-2.2002,-3.0836,0.5287,-0.5941,-1.6703,2.4429
197709,1.7305,1.8403,1.8978,1.9043,1.3601,-0.5714,-0.3249,-1.0819,0.836,2.4609,1.2769,0.1117,1.831,0.8969,1.9414,1.2858,0.6183,0.6727,-0.3586,0.4687,0.5961,-0.4178,-1.1962,-0.9237,-3.8388
197710,-0.6114,-1.798,-2.0794,-3.2306,-3.0068,-0.7072,-2.348,-3.2617,-2.0183,-3.4141,-2.2209,-2.2617,-2.3414,-2.5791,-4.1035,-2.9926,-4.0532,-3.5637,-3.6028,-3.8354,-3.2568,-4.8562,-4.4733,-5.4357,-9.8079
197711,4.2979,6.0385,7.6239,10.2166,10.4169,4.4775,7.236,8.1695,8.4104,10.8458,4.5247,6.0831,7.512,8.7746,8.2917,4.5126,5.8132,6.6259,8.0947,10.1228,2.7283,2.897,4.6399,6.5376,7.3461
197712,2.2651,2.3295,2.7699,2.8956,2.8338,0.355,1.4825,1.3599,1.6129,2.7542,1.0453,1.5429,0.4533,0.5702,2.0852,-0.0571,0.5169,0.3356,1.7478,1.0499,1.1592,0.0953,0.5419,-0.6206,-4.17
197801,0.8254,-1.2433,-0.516,-2.1108,-1.1492,-1.2194,-2.1807,-3.3589,-3.6163,-5.6068,-2.921,-3.3239,-4.65,-4.9626,-5.7694,-4.3061,-5.0804,-6.2317,-6.2714,-5.5875,-5.7904,-5.5186,-6.9376,-8.0941,-9.1522
197802,2.4159,3.1572,3.9328,3.5142,3.8219,0.7435,0.5459,1.704,0.8496,2.6456,0.238,-0.0725,1.6444,2.7858,0.6958,-1.23,-1.0057,-0.7186,0.0066,-0.3001,-0.4862,-2.6653,-2.4558,-1.9954,-2.2787
197803,3.9959,5.3461,6.7227,8.5121,10.1145,2.7187,4.8971,7.3215,7.1171,8.7353,2.2936,2.8525,7.006,6.3231,9.8512,3.2428,4.6148,4.1565,5.2352,9.8177,2.7874,0.2884,4.5147,3.8866,3.2988
197804,6.091,6.8114,7.3603,9.3907,9.865,3.658,6.8804,8.3004,8.2001,10.6502,3.1343,5.5085,8.8072,9.2908,11.5597,2.8174,7.2238,9.1862,7.7865,9.659,5.5133,10.8891,12.1959,12.8777,20.4919
197805,4.8218,4.8752,7.9871,7.8804,8.7305,2.3897,4.9172,5.3971,6.7784,6.8421,3.4998,5.1829,3.5219,4.8939,6.14,3.1695,2.8295,1.419,5.0715,6.3778,0.6523,0.817,2.0874,2.6261,9.6048
197806,1.6472,0.9286,1.3589,-0.3515,0.1345,0.1387,0.1397,0.0204,0.7596,-0.1364,-0.296,2.69,-0.3287,-1.2648,0.4292,1.1541,-1.6268,-0.0417,-1.0173,-0.8562,-1.9687,-1.5613,-1.5293,-1.6956,-2.8511
197807,3.9253,3.7502,5.5092,6.4072,6.5663,3.1257,4.1903,5.4013,7.6678,9.4986,2.5757,4.2404,4.2917,6.5469,7.7198,4.1503,6.702,5.8953,6.808,11.0731,3.0143,6.3458,6.7968,7.8171,10.5681
197808,5.7627,6.8586,9.0916,9.2718,12.1318,5.0137,7.2816,9.2698,8.2777,9.8308,4.6603,4.6919,6.6442,7.1209,12.2793,2.6379,4.0436,6.2205,5.7672,6.1488,3.3244,2.7656,3.2583,3.0705,3.5169
197809,1.0501,1.2089,-1.1408,-0.8813,-1.244,0.4669,-0.0841,-1.0398,-1.7568,-2.6639,-0.6056,0.5575,-1.5648,-1.2481,-3.5589,-0.1735,-0.9174,-1.9743,-0.7604,-2.0819,2.2987,-1.4466,-2.5558,-3.675,-4.0871
197810,-13.4831,-17.0399,-20.7348,-23.4527,-27.5957,-11.5842,-15.6587,-18.0651,-22.2836,-26.0964,-11.1971,-13.4436,-16.4189,-19.7162,-24.2351,-10.5765,-11.7085,-13.1355,-15.2947,-20.1151,-6.9904,-8.4647,-9.387,-12.0203,-9.1324
197811,2.0178,3.1294,3.3777,8.2171,8.5917,1.7203,2.861,7.2603,8.1387,10.0251,2.2483,3.4764,4.6718,5.0958,8.413,2.5949,1.9458,2.3131,4.0807,6.059,3.6284,2.2715,3.4526,2.56,2.5978
197812,1.243,0.405,2.4479,2.4984,2.61,2.8662,3.1742,1.4474,1.5786,2.8473,1.2606,1.7736,1.8473,2.6347,3.1962,0.6847,1.8459,1.5011,0.3767,2.2104,1.0134,2.3942,2.2682,1.6708,-0.3788
197901,7.4342,10.2419,10.6806,10.2583,10.6925,5.8839,6.7676,8.1167,10.2235,9.2839,6.2743,6.5913,7.6532,7.5767,8.9605,7.5142,7.0935,6.5936,4.9033,3.8328,3.686,4.0734,4.2163,3.2879,3.5223
197902,-0.7671,-0.7245,-3.0108,-2.2783,-3.8007,-1.4023,-0.6691,-2.1291,-3.7507,-4.9257,-1.3537,-0.7005,-1.5934,-4.1617,-4.6492,-1.5468,-2.4792,-3.866,-3.9552,-6.4073,-1.1883,-2.7544,-4.521,-4.5578,-8.772
197903,4.516,7.2569,8.9156,10.8252,11.1432,6.6038,8.4337,8.3401,10.4926,10.8325,5.3139,7.6867,9.8138,12.0599,12.5155,5.3399,6.7549,9.4666,10.5374,10.2114,4.4146,5.8862,5.0262,7.6531,6.5815
197904,3.0322,2.7128,3.4526,3.6303,2.3763,2.6149,1.2483,2.0349,2.17,3.6314,1.666,0.8609,2.5508,0.9422,3.2632,-0.749,2.3527,1.8402,2.295,1.5846,0.9887,-0.3782,-0.6326,0.4131,-0.3369
197905,-0.5248,-0.64,-1.2575,-1.8871,-2.0175,-1.07,-0.476,-0.4059,-0.8623,-2.638,0.056,-0.4344,-1.553,-1.7388,-4.1389,0.5107,0.1913,-1.4936,-1.1467,-3.1675,-1.3302,-1.604,-1.9632,-1.309,-0.9396
197906,4.3167,4.1344,5.4975,6.6939,5.7641,5.7629,8.197,4.3668,7.3807,5.4707,5.4444,5.5827,3.2229,7.8926,4.3727,6.9789,7.4069,6.3399,5.7773,5.6056,4.9605,2.165,4.5767,5.2246,3.4683
197907,2.821,3.8699,2.4562,1.519,1.3488,4.0226,3.0219,2.7819,3.1258,2.8369,2.0581,3.9399,3.0273,4.1587,4.5846,0.4506,3.4644,2.658,3.2061,3.375,1.5961,-0.0152,0.8086,0.927,3.1016
197908,5.4982,7.0812,8.8655,7.8754,9.5411,5.0001,6.2271,8.5734,7.9563,9.8329,5.2713,6.4737,7.9217,7.7329,9.3149,4.3435,7.188,7.2724,9.2413,9.2668,4.8751,5.4921,6.5839,7.1943,7.2938
197909,-0.1375,-1.2074,0.4675,-1.0014,-1.3615,-0.2367,-1.1482,-1.4531,0.351,-0.1638,-1.1591,0.3077,-0.5223,-0.1906,-0.6643,-1.4863,0.8095,-0.5507,-1.2516,-0.795,1.4894,0.0349,0.3755,-2.3086,-3.0092
