Year,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196505,-1.6339,-1.7162,-2.079,-1.1537,-0.5469,-3.0214,0.4649,0.5764,-1.389,-1.5012,-1.0181,-0.9076,-0.2083,-0.6233,0.6102,-0.0978,-1.6977,-0.9719,-0.9366,0.2795,1.101,-1.7351,0.4975,-0.415,-2.8658
196506,-8.1454,-3.8745,-8.8896,-9.941,-11.6802,-6.522,-5.8464,-7.7661,-9.6044,-10.1679,-5.9793,-6.4731,-7.8145,-9.8459,-9.6593,-6.2474,-6.265,-6.8651,-8.6781,-10.9098,-3.3826,-3.7824,-4.6214,-5.1934,-8.0692
196507,2.5996,4.2926,3.5773,2.7669,3.0446,3.2393,3.5079,1.6399,2.6535,4.6324,4.6762,1.6507,3.3747,2.8102,5.2069,3.3171,2.6076,3.1743,4.6106,3.4247,1.703,0.528,0.1833,2.0872,9.1767
196508,1.0106,2.9479,3.5274,3.4388,6.6883,1.2825,5.4769,4.2887,3.9767,7.3488,4.6767,3.3592,7.804,5.808,8.484,2.3882,3.4214,3.7014,5.2953,6.4089,1.1056,2.3363,4.0066,4.1232,8.0691
196509,2.3302,1.533,1.9403,2.2972,3.8447,2.6665,2.7201,2.7121,3.2335,5.9426,1.2102,2.6435,3.4312,3.8937,5.1442,2.5853,2.6873,2.1306,2.9179,5.8948,4.7999,2.0963,2.4257,1.9039,5.6466
196510,5.5098,7.7306,6.7323,7.9328,9.2716,4.1348,4.3999,6.1598,7.4376,6.1199,1.5208,3.6674,6.7476,5.1207,7.5661,2.2574,3.4835,3.6709,5.2559,5.6731,2.5357,1.5343,2.0886,3.4783,7.571
196511,2.9368,7.9316,7.2412,4.0417,7.4934,2.7217,5.0274,5.1323,5.7978,5.4893,7.5185,2.3807,0.4823,3.7431,5.7511,2.1524,1.3326,2.297,5.2504,5.8536,-1.3359,-2.8638,1.054,1.2746,7.4272
196512,3.236,5.3095,5.6752,4.983,3.638,3.1876,3.0994,7.2807,8.147,3.335,-0.7868,2.1762,5.9826,2.3292,5.23,0.8696,1.568,-0.0715,4.9191,4.2925,0.5273,0.8966,0.6025,0.6944,5.7779
196601,6.4294,6.4177,8.5659,7.8725,9.8588,5.7316,5.2045,2.8944,7.1764,7.1625,3.786,1.9159,4.5189,4.2024,5.1226,1.5803,3.1869,3.0403,4.4943,3.4952,0.0169,-1.0623,0.0557,0.7687,8.0939
196602,3.3684,0.8714,6.4715,4.928,7.137,3.0845,0.6362,2.4633,5.5992,3.1733,-2.1338,0.5229,5.4793,3.2121,4.7161,-1.8842,-2.1123,-1.1008,4.0662,5.2497,-3.2051,-2.2109,-1.4012,0.3569,6.9966
196603,0.7366,0.6033,-1.3554,-1.1801,0.0134,-1.4114,-2.2094,0.5251,-1.1158,-2.3666,-1.7938,-2.0703,-3.9378,-4.0932,-2.6348,-2.087,-1.8393,-2.7287,-2.1007,-1.1337,-2.5329,-2.2878,-3.3287,-0.2535,1.0381
196604,4.2381,4.3399,3.7711,6.5879,7.1598,3.5645,3.6276,4.0414,6.6473,8.4546,0.6132,3.1245,3.1197,3.7046,6.7528,1.0032,1.74,2.8148,3.1579,6.1208,1.336,1.3319,1.3347,4.9823,2.6639
196605,-8.4556,-8.5683,-11.6941,-11.4434,-14.1857,-8.4826,-6.6995,-11.427,-9.7309,-12.2867,-4.3382,-3.2354,-8.7945,-8.9703,-12.498,-5.0248,-5.1057,-6.4363,-7.7811,-9.1091,-4.6531,-3.267,-4.1237,-3.776,-11.1292
