"","Low","2","3","4","High","Low","2","3","4","High"
"Small",0.83,0.91,0.8,0.93,0.56,7.02,6.39,6.12,6.39,7.11
"2",0.79,0.85,0.81,0.76,0.63,6.47,5.77,5.71,6.11,6.72
"3",0.85,0.79,0.84,0.78,0.6,6.12,5.4,5.14,5.6,6.51
"4",0.75,0.72,0.66,0.78,0.69,5.58,5.04,4.91,5.09,6.12
"Big",0.69,0.56,0.51,0.51,0.26,5.08,4.16,4.03,4.48,5.06
