"","Mkt.RF","SMB","HML","RMW","CMA","MOM"
"Mean",0.53,0.24,0.31,0.26,0.27,0.65
"SD",4.4,3.02,2.8,2.16,1.99,4.18
"t-statistic",3.14,2.02,2.86,3.11,3.55,4.05
