"","low","2","3","4","high","low","2","3","4","high"
"","PanelA: CAPM: Rit 每 RFt = ai + bi(RMt 每 RFt) + eit ","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"small","0.34","0.4","0.33","0.32","-0.05","3.03","3.21","2.33","2.26","-0.25"
"2","0.28","0.39","0.38","0.23","-0.13","2.78","3.82","3.52","1.92","-0.87"
"3","0.31","0.37","0.26","0.14","-0.09","3.61","4.66","2.91","1.4","-0.68"
"4","0.3","0.28","0.17","-0.04","-0.06","3.51","3.9","2.37","-0.5","-0.45"
"big","0.16","0.09","-0.03","-0.12","-0.33","1.97","1.39","-0.43","-1.61","-2.51"
"","","","b","","","","","t(b)","",""
"small","0.75","0.9","1.04","1.2","1.47","30.03","32.18","32.28","37.18","34.47"
"2","0.77","0.9","1.06","1.21","1.54","33.3","39.36","44.27","44.84","45.37"
"3","0.71","0.93","1.06","1.2","1.53","37.38","51.05","51.71","51.44","50.59"
"4","0.72","0.95","1.08","1.22","1.53","37.45","59.26","65.61","64.42","53.35"
"big","0.66","0.88","1.03","1.2","1.41","35.79","63.47","74.32","69.02","48.05"
"","Panel B: Five-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLOt + riRMWt + ciCMAt + eit ","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"small","0.12","0.09","0.05","0.09","-0.07","1.91","1.39","0.79","1.56","-0.86"
"2","0.04","0.06","0.07","-0.05","-0.18","0.57","1.16","1.26","-0.87","-2.42"
"3","0.09","0.12","-0.01","-0.12","-0.09","1.17","2.12","-0.11","-1.72","-1.01"
"4","0.08","0.02","-0.07","-0.23","0.05","0.97","0.26","-1.06","-3.07","0.47"
"big","-0.05","-0.05","-0.09","-0.12","-0.11","-0.86","-1.05","-1.64","-1.48","-0.83"
"","","","b","","","","","t(b)","",""
"small","0.65","0.8","0.89","1.02","1.15","41.83","51.58","57.89","69.7","57.5"
"2","0.72","0.85","0.99","1.09","1.3","40.51","63.01","70.79","76.67","69.73"
"3","0.74","0.91","1.02","1.13","1.31","40.36","63.38","68.33","68.18","60.43"
"4","0.8","1","1.1","1.2","1.35","40.41","65.5","70.24","65.46","51.55"
"big","0.82","0.98","1.08","1.17","1.3","51.64","77.14","75.73","60.36","40.08"
"","","","s","","","","","t(s)","",""
"small","0.77","0.92","1.11","1.14","1.4","35.33","42.65","51.89","55.85","50.17"
"2","0.6","0.74","0.81","0.95","1.12","24.23","39.14","41.38","47.63","43.03"
"3","0.27","0.49","0.61","0.73","0.87","10.41","24.68","29.27","31.39","28.86"
"4","0.04","0.23","0.3","0.38","0.57","1.36","10.69","13.9","14.73","15.46"
"big","-0.29","-0.18","-0.11","0.05","0.07","-12.89","-9.9","-5.45","2.01","1.49"
"","","","h","","","","","t(h)","",""
"small","0.32","0.3","0.23","0.21","-0.06","10.51","9.92","7.7","7.56","-1.69"
"2","0.32","0.29","0.25","0.17","-0.06","9.45","11.16","9.18","6.34","-1.57"
"3","0.32","0.16","0.2","0.2","-0.09","9.01","5.87","6.91","6.36","-2.2"
"4","0.23","0.15","0.11","0.19","-0.04","5.92","5.06","3.7","5.47","-0.73"
"big","0.03","0.02","0.07","0.15","0.03","0.97","0.75","2.67","3.98","0.55"
"","","","r","","","","","t(r)","",""
"small","-0.02","0.1","-0.02","-0.04","-0.46","-0.66","3.33","-0.78","-1.33","-11.67"
"2","0.06","0.23","0.23","0.16","-0.22","1.78","8.84","8.5","5.6","-6.15"
"3","0.1","0.21","0.24","0.22","-0.16","2.83","7.67","8.25","6.72","-3.68"
"4","0.16","0.29","0.3","0.2","-0.32","4.11","9.58","9.73","5.71","-6.31"
"big","0.3","0.3","0.24","0.07","-0.28","9.72","12.09","8.73","1.79","-4.43"
"","","","c","","","","","t(c)","",""
"small","-0.02","0.1","0.14","0.02","0.01","-0.34","2.26","3.2","0.39","0.2"
"2","0.04","0.1","0.07","0.09","-0.02","0.8","2.51","1.65","2.29","-0.38"
"3","0.07","0.14","0.09","0.03","-0.09","1.33","3.52","2.17","0.74","-1.53"
"4","0.21","0.22","0.16","-0.02","-0.18","3.63","4.99","3.63","-0.38","-2.36"
"big","0.4","0.16","-0.07","-0.26","-0.41","8.74","4.48","-1.65","-4.72","-4.43"
