"","GRS","p(GRS)","A|ai|","A|ai|/A|ri|","A(ai^2)/A(ri^2)","A(s^2(ai)/A(ri^2)","A(R^2)"
"size.var.Mkt.SMB.HML.RMW",4.75289535119178,8.45521724626043e-13,0.0367456568988251,0.132968355003683,0.018505941668937,2.84765296025856,0.881999043414651
"size.var.Mkt.SMB.HML.CMA",5.64504179888577,3.95975579426802e-16,0.0966278778716516,0.349659008776657,0.148435474249887,0.399570121179334,0.865699774387398
"size.var.Mkt.SMB.RMW.CMA",4.6213590756222,2.60242607941208e-12,0.0777418295429275,0.281317686543531,0.135136697038838,0.418888725924527,0.874697364332776
"size.var.Mkt.SMB.HML.RMW.CMA",4.62100692687296,2.6209442704867e-12,0.0776266935083923,0.280901053656658,0.118753081784212,0.446858603435659,0.88440720385992
"size.Rvar.Mkt.SMB.HML",6.46496617264571,3.38207014698158e-19,0.0646597838449873,0.222121417161125,0.0388551358854842,1.29782868177139,0.87736420584141
"size.Rvar.Mkt.SMB.HML.RMW",5.55014915630879,8.96574211345394e-16,0.0630988867186144,0.21675937198968,0.0361782769576979,1.24735083050844,0.893229497560425
"size.Rvar.Mkt.SMB.HML.CMA",6.44603419025083,4.01317830882248e-19,0.110047746519332,0.378039640077719,0.154148121394847,0.331842216003691,0.877728160027242
"size.Rvar.Mkt.SMB.RMW.CMA",5.25504055343352,1.13678768775069e-14,0.106778664054776,0.366809580422949,0.150645117968353,0.324420567635138,0.88485416002344
"size.Rvar.Mkt.SMB.HML.RMW.CMA",5.24374516644391,1.25956540257524e-14,0.0997214362833644,0.342566359357244,0.128948037150745,0.353900278133685,0.894856632761629
"size.AC.Mkt.SMB.HML",3.83748621404738,1.96128032111763e-09,0.121569623223525,0.588442016454326,0.432453876815398,0.191926227964593,0.904974166045126
"size.AC.Mkt.SMB.HML.RMW",4.52735535920064,5.80257284936939e-12,0.208025111242792,1.00691860916417,1.32025280250123,0.062163723297555,0.908186513810287
"size.AC.Mkt.SMB.HML.CMA",3.4230615795121,6.03394986766055e-08,0.135550666482178,0.65611544563104,0.467963983034266,0.178154163354947,0.906181122771872
"size.AC.Mkt.SMB.RMW.CMA",3.76135467728225,3.70823420973142e-09,0.188872202335258,0.914211434134166,1.16951062955343,0.0720074967424744,0.908299493905024
"size.AC.Mkt.SMB.HML.RMW.CMA",3.82195384508757,2.24437599295267e-09,0.201918848245861,0.977362033963574,1.17110110233916,0.0714820940529135,0.908997101837156
"size.prior.Mkt.SMB.HML",5.11790214161982,3.67670719696049e-14,0.122658367184888,0.402009514174314,0.183690876960108,0.36522591379971,0.844274698105545
"size.prior.Mkt.SMB.HML.RMW",4.72482399706996,1.07500595599161e-12,0.135740419455356,0.444885590208544,0.195084957447636,0.343556697724282,0.849666184797225
"size.prior.Mkt.SMB.HML.CMA",4.77492235040066,7.0026554811533e-13,0.148692187786714,0.487334664120798,0.234047750628175,0.289790685369232,0.845094542248107
"size.prior.Mkt.SMB.RMW.CMA",4.33684470718626,2.93277077911075e-11,0.127427142991189,0.417639049191746,0.16478156183101,0.44042284142367,0.840839971508191
"size.prior.Mkt.SMB.HML.RMW.CMA",4.34048194486794,2.85370264197396e-11,0.153951065482723,0.504570494958885,0.233091640284583,0.292235774301866,0.851048929540317
"size.prior.Mkt.SMB.HML.MOM",3.84618616420192,1.8287004321351e-09,0.097419661406408,0.319290331771524,0.138649883991288,0.261252806517652,0.910144247442844
"size.prior.Mkt.SMB.HML.RMW.MOM",3.68966862482627,6.74104224022828e-09,0.112933044378478,0.370135029079466,0.156773346975074,0.224462845997653,0.915473868250534
"size.prior.Mkt.SMB.HML.CMA.MOM",3.68366806694195,7.08470742453251e-09,0.123294459043565,0.404094288209269,0.187943581519505,0.194679062324621,0.910334833001938
"size.prior.Mkt.SMB.RMW.CMA.MOM",3.56957563497087,1.81824496866781e-08,0.106282423207145,0.348337796266027,0.132530630481774,0.278381807682896,0.912452566840626
"size.prior.Mkt.SMB.HML.RMW.CMA.MOM",3.55078479397326,2.1270398629925e-08,0.131909811914097,0.432330876559597,0.194830851084624,0.183143208225392,0.91603690318385
