"","GRS","p(GRS)","A|ai|","A|ai|/A|ri|","A(ai^2)/A(ri^2)","A(s^2(ai)/A(ri^2)","A(R^2)"
"size.beta.Mkt",2.58458786633202,4.44094546875098e-05,0.00216486077789198,0.0103220141007307,7.95745264274931e-05,2569.67290208318,0.745425192267426
"size.beta.Mkt.SMB.HML",2.01047804452956,0.00263170178869852,0.0439253453010846,0.209435192418588,0.0634286251154275,1.40732096445901,0.880521536743589
"size.beta.Mkt.SMB.HML.RMW",1.93060434083258,0.0044406640846743,0.085424381770299,0.407301791498033,0.234625870628148,0.371364106438307,0.886565829798771
"size.beta.Mkt.SMB.HML.CMA",1.89847686562938,0.00545870838038332,0.0846340933266387,0.403533711563096,0.229034679850564,0.39353036361,0.881729399093065
"size.beta.Mkt.SMB.RMW.CMA",1.84486339173102,0.00766325671291559,0.111554142950063,0.531887984799978,0.371717307800225,0.24872223662843,0.882045050487838
"size.beta.Mkt.SMB.HML.RMW.CMA",1.87651614409574,0.00627954069628833,0.109691572896899,0.523007286997751,0.332871265313714,0.265575574416529,0.888587903843965
"size.NI.Mkt.SMB.HML",4.46570256385359,4.77508892010151e-15,0.0269334009659492,0.109597414133529,0.0138376866065032,6.10037439358226,0.862221646331871
"size.NI.Mkt.SMB.HML.RMW",3.82350012160579,5.84173079174159e-12,0.0263422796779264,0.107192022972996,0.0123983426860649,6.63294009709225,0.868646733765343
"size.NI.Mkt.SMB.HML.CMA",4.18895895836665,1.03902986213857e-13,0.0470399055365715,0.191414816658747,0.0489506420435145,1.72769927090009,0.86468901463517
"size.NI.Mkt.SMB.RMW.CMA",3.37019853366298,8.02074257634645e-10,0.0526086430875401,0.214075127413636,0.0509531093470509,1.66161934818003,0.868953640592328
"size.NI.Mkt.SMB.HML.RMW.CMA",3.37769822282742,7.42646601176109e-10,0.0425457075920288,0.173127023225277,0.0407765758197616,2.01997511184813,0.872402358815941
"size.var.Mkt.SMB.HML",5.61496248822124,5.09867806927266e-16,0.0484535571799817,0.175334728946023,0.0246667515847449,2.37600986009343,0.864919147164671
