"","Low","2","3","4","High","Low","2","3","4","High"
"Small",1.01,0.75,0.89,0.92,0.98,5.6,5.71,6.22,6.34,6.7
"2",0.69,0.24,0.89,0.84,0.88,6.96,7.61,5.25,5.74,5.77
"3",0.87,0.83,0.85,0.34,0.95,6.04,6.23,6.43,7.03,5.04
"4",0.73,0.8,0.92,0.82,0.72,5.44,5.21,5.56,5.75,5.93
"Big",0.33,0.94,0.62,0.68,0.69,6.48,4.85,4.86,5.01,5.29
