"","low","2","3","4","high","low","2","3","4","high"
"","PanelA: Regression intercepts","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"","Three-factor: Mkt, SMB, and HML","","","","","","","","",""
"small","0.11","0.14","0.07","0.08","-0.23","1.81","2.3","1.11","1.43","-2.62"
"2","0.07","0.16","0.16","0.02","-0.26","1.01","2.91","2.85","0.38","-3.51"
"3","0.13","0.22","0.09","-0.03","-0.16","1.87","3.82","1.54","-0.49","-1.87"
"4","0.17","0.16","0.07","-0.16","-0.1","2.17","2.44","1.02","-2.16","-0.91"
"big","0.13","0.08","-0.02","-0.14","-0.28","1.83","1.48","-0.37","-1.82","-2.18"
"","Four-factor: Mkt, SMB, HML, and CMA","","","","","","","","",""
"small","0.11","0.13","0.04","0.08","-0.25","1.82","2.07","0.65","1.33","-2.92"
"2","0.07","0.16","0.16","0.01","-0.27","0.94","2.79","2.83","0.22","-3.59"
"3","0.13","0.21","0.09","-0.03","-0.15","1.75","3.54","1.46","-0.41","-1.74"
"4","0.14","0.13","0.05","-0.14","-0.08","1.78","2.04","0.8","-1.94","-0.76"
"big","0.07","0.07","0","-0.09","-0.22","1","1.21","0.07","-1.15","-1.71"
"","Five-factor: Mkt, SMB, HMLO, RMW, and CMA","","","","","","","","",""
"small","0.12","0.09","0.05","0.09","-0.07","1.91","1.39","0.79","1.56","-0.86"
"2","0.04","0.06","0.07","-0.05","-0.18","0.57","1.16","1.26","-0.87","-2.42"
"3","0.09","0.12","-0.01","-0.12","-0.09","1.17","2.12","-0.11","-1.72","-1.01"
"4","0.08","0.02","-0.07","-0.23","0.05","0.97","0.26","-1.06","-3.07","0.47"
"big","-0.05","-0.05","-0.09","-0.12","-0.11","-0.86","-1.05","-1.64","-1.48","-0.83"
"","Panel B: Regression slopes","","","","","","","","",""
"","Three-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLt + eit","","","","","","","","",""
"","","","h","","","","","t(h)","",""
"small","0.31","0.34","0.29","0.22","-0.06","13.93","15.37","13.23","10.59","-1.95"
"2","0.34","0.33","0.28","0.22","-0.07","13.51","16.5","13.28","10.44","-2.43"
"3","0.35","0.23","0.24","0.22","-0.14","13.35","10.71","10.84","9.02","-4.34"
"4","0.32","0.25","0.19","0.18","-0.12","11.15","10.66","7.81","6.9","-3.07"
"big","0.21","0.09","0.04","0.03","-0.15","8.47","4.66","2.01","1.07","-3.24"
"","Four-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLt + ciCMAt + eit","","","","","","","","",""
"","","","h","","","","","t(h)","",""
"small","0.31","0.31","0.22","0.21","-0.13","10.53","10.4","7.66","7.45","-3.02"
"2","0.33","0.32","0.28","0.19","-0.09","9.77","11.82","9.93","7.01","-2.37"
"3","0.33","0.19","0.23","0.23","-0.11","9.43","6.7","7.74","7.12","-2.7"
"4","0.25","0.19","0.15","0.22","-0.08","6.47","6.03","4.75","6.16","-1.56"
"big","0.07","0.06","0.11","0.16","0","2.17","2.2","3.69","4.26","-0.05"
"","","","c","","","","","t(c)","",""
"","Five-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLOt + riRMWt + ciCMAt + eit","","","","","","","","",""
"small","-0.01","0.07","0.15","0.03","0.14","-0.21","1.61","3.42","0.67","2.35"
"2","0.02","0.03","0","0.05","0.04","0.45","0.73","-0.04","1.17","0.84"
"3","0.04","0.08","0.02","-0.03","-0.05","0.77","1.95","0.51","-0.59","-0.8"
"4","0.16","0.14","0.08","-0.08","-0.08","2.83","2.95","1.62","-1.52","-1.09"
"big","0.31","0.08","-0.14","-0.28","-0.33","6.51","1.92","-3.28","-5.17","-3.57"
"","","","h","","","","","t(h)","",""
"small","0.32","0.3","0.23","0.21","-0.06","10.51","9.92","7.7","7.56","-1.69"
"2","0.32","0.29","0.25","0.17","-0.06","9.45","11.16","9.18","6.34","-1.57"
"3","0.32","0.16","0.2","0.2","-0.09","9.01","5.87","6.91","6.36","-2.2"
"4","0.23","0.15","0.11","0.19","-0.04","5.92","5.06","3.7","5.47","-0.73"
"big","0.03","0.02","0.07","0.15","0.03","0.97","0.75","2.67","3.98","0.55"
"","","","r","","","","","t(r)","",""
"small","-0.02","0.1","-0.02","-0.04","-0.46","-0.66","3.33","-0.78","-1.33","-11.67"
"2","0.06","0.23","0.23","0.16","-0.22","1.78","8.84","8.5","5.6","-6.15"
"3","0.1","0.21","0.24","0.22","-0.16","2.83","7.67","8.25","6.72","-3.68"
"4","0.16","0.29","0.3","0.2","-0.32","4.11","9.58","9.73","5.71","-6.31"
"big","0.3","0.3","0.24","0.07","-0.28","9.72","12.09","8.73","1.79","-4.43"
"","","","c","","","","","t(c)","",""
"small","-0.02","0.1","0.14","0.02","0.01","-0.34","2.26","3.2","0.39","0.2"
"2","0.04","0.1","0.07","0.09","-0.02","0.8","2.51","1.65","2.29","-0.38"
"3","0.07","0.14","0.09","0.03","-0.09","1.33","3.52","2.17","0.74","-1.53"
"4","0.21","0.22","0.16","-0.02","-0.18","3.63","4.99","3.63","-0.38","-2.36"
"big","0.4","0.16","-0.07","-0.26","-0.41","8.74","4.48","-1.65","-4.72","-4.43"
