"","neg","zero","low","2","3","4","high","neg","zero","low","2","3","4","high"
"","PanelA:Three-factor:Rit每RFt=ai+bi(RMt每RFt)+siSMBt+hiHMLt+eit","","","","","","","","","","","","",""
"","","","","a","","","","","","","t(a)","","",""
"small","0.2","-0.03","0.03","0.07","0.15","-0.13","-0.56","3.56","-0.33","0.49","0.99","2.15","-1.84","-6.17"
"2","0.12","0.08","0.06","0.06","0.03","0.08","-0.41","2.14","0.66","0.94","0.85","0.42","1.26","-5.34"
"3","0.24","0.02","0.03","0.17","0.1","0.01","-0.36","3.79","0.14","0.45","2.56","1.43","0.16","-4.5"
"4","0.26","0.07","-0.01","0","0.18","0.05","-0.31","3.96","0.59","-0.12","0.03","2.54","0.57","-3.37"
"big","0.15","0.22","0.03","0.03","0.19","0.01","-0.36","2.82","1.61","0.53","0.5","2.55","0.12","-4.29"
"","Panel B: Five-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLOt + riRMWt + ciCMAt + eit ","","","","","","","","","","","","",""
"","","","","a","","","","","","","t(a)","","",""
"small","0.11","-0.07","0.01","0.05","0.21","-0.02","-0.34","2","-0.84","0.15","0.75","3.03","-0.33","-4.21"
"2","-0.02","0","-0.01","-0.02","0.01","0.18","-0.21","-0.41","-0.03","-0.16","-0.32","0.16","2.75","-2.98"
"3","0.08","-0.04","-0.07","0.11","0.1","0.1","-0.13","1.37","-0.33","-0.98","1.59","1.36","1.34","-1.74"
"4","0.09","-0.12","-0.14","-0.1","0.19","0.19","-0.04","1.54","-0.96","-1.94","-1.33","2.67","2.44","-0.47"
"big","0.02","0.05","-0.11","0.02","0.23","0.18","-0.2","0.49","0.35","-1.67","0.24","2.94","2.32","-2.52"
"","","","","h","","","","","","","t(h)","","",""
"small","0.27","0.23","0.2","0.14","-0.02","-0.03","-0.22","9.98","5.66","5.95","4.47","-0.7","-0.81","-5.65"
"2","0.24","0.38","0.27","0.07","0.03","-0.02","-0.14","9.98","6.58","8.38","2.14","0.92","-0.56","-3.95"
"3","0.21","0.26","0.33","0.11","0.02","0.05","-0.05","7.58","4.45","9.83","3.37","0.65","1.37","-1.34"
"4","0.19","-0.02","0.15","0.1","-0.04","-0.11","0.05","6.65","-0.33","4.44","2.73","-1.22","-2.98","1.37"
"big","0.02","0","-0.01","-0.01","-0.06","-0.14","0.29","0.9","0.06","-0.18","-0.31","-1.73","-3.69","7.53"
"","","","","r","","","","","","","t(r)","","",""
"small","0.17","0.06","0.01","-0.03","-0.22","-0.27","-0.58","6.35","1.57","0.19","-0.78","-6.54","-7.81","-14.8"
"2","0.29","0.27","0.2","0.11","0.03","-0.2","-0.4","11.6","4.68","6.21","3.43","0.97","-6.34","-11.59"
"3","0.38","0.05","0.24","0.12","0.01","-0.13","-0.43","13.62","0.77","6.99","3.62","0.37","-3.56","-12.06"
"4","0.32","0.25","0.23","0.18","-0.03","-0.36","-0.55","10.88","4.2","6.42","4.98","-0.94","-9.43","-13.65"
"big","0.19","0.21","0.29","0.08","-0.02","-0.36","-0.18","7.9","3.15","9.25","2.59","-0.44","-9.31","-4.5"
"","","","","c","","","","","","","t(c)","","",""
"small","0.15","0.11","0.11","0.13","0.09","-0.08","-0.09","3.68","1.89","2.21","2.65","1.84","-1.59","-1.5"
"2","0.2","-0.07","0.02","0.22","0.03","-0.15","-0.3","5.62","-0.77","0.33","4.4","0.66","-3.17","-5.94"
"3","0.15","0.22","0.09","0.11","-0.02","-0.23","-0.45","3.62","2.51","1.89","2.32","-0.31","-4.36","-8.7"
"4","0.27","0.54","0.28","0.2","-0.02","-0.11","-0.43","6.32","6.26","5.46","3.86","-0.35","-1.99","-7.37"
"big","0.3","0.51","0.22","-0.07","-0.16","-0.26","-0.49","8.5","5.38","4.94","-1.41","-2.81","-4.65","-8.47"
