"","Low","2","3","4","High","Low","2","3","4","High"
"Small",0.88,0.91,0.83,0.97,0.59,7.12,6.44,6.18,6.45,7.19
"2",0.83,0.87,0.8,0.76,0.63,6.52,5.79,5.78,6.17,6.77
"3",0.85,0.8,0.83,0.8,0.6,6.15,5.46,5.16,5.63,6.61
"4",0.75,0.69,0.65,0.77,0.71,5.65,5.1,4.93,5.15,6.21
"Big",0.63,0.52,0.5,0.5,0.24,5.14,4.18,4.02,4.56,5.13
