"","low","2","3","4","high","low","2","3","4","high"
"","PanelA: CAPM: Rit 每 RFt = ai + bi(RMt 每 RFt) + eit ","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"small","0.35","0.44","0.4","0.37","0.05","3.04","3.47","2.67","2.46","0.26"
"2","0.32","0.42","0.42","0.28","-0.07","3.01","3.93","3.74","2.22","-0.42"
"3","0.33","0.39","0.31","0.2","-0.02","3.69","4.67","3.29","1.8","-0.13"
"4","0.31","0.28","0.19","-0.02","-0.02","3.43","3.73","2.49","-0.26","-0.16"
"big","0.16","0.07","-0.02","-0.11","-0.31","1.8","1.06","-0.37","-1.35","-2.28"
"","","","b","","","","","t(b)","",""
"small","0.74","0.89","1.03","1.2","1.47","28.81","31.26","30.9","36.07","33.08"
"2","0.76","0.89","1.06","1.2","1.54","32.1","37.67","42.57","43.13","43.99"
"3","0.7","0.92","1.04","1.19","1.53","35.06","48.85","49.66","48.95","48.9"
"4","0.71","0.94","1.07","1.2","1.52","35.61","55.7","61.76","60.79","50.87"
"big","0.65","0.88","1.03","1.19","1.41","33.88","59.81","70.34","66.31","46.39"
"","Panel B: Five-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLOt + riRMWt + ciCMAt + eit ","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"small","0.08","0.08","0.06","0.08","0","1.23","1.17","0.88","1.31","0"
"2","0.03","0.03","0.06","-0.06","-0.14","0.43","0.58","1.02","-0.96","-1.75"
"3","0.08","0.1","0","-0.1","-0.01","1","1.66","0.08","-1.38","-0.14"
"4","0.05","-0.02","-0.09","-0.24","0.1","0.6","-0.29","-1.33","-2.99","0.9"
"big","-0.08","-0.08","-0.08","-0.09","-0.05","-1.13","-1.46","-1.39","-1.05","-0.34"
"","","","b","","","","","t(b)","",""
"small","0.65","0.8","0.88","1.02","1.14","39.82","49.39","54.16","67.68","55.58"
"2","0.72","0.85","0.99","1.09","1.29","39.19","60.53","66.82","73.58","68.17"
"3","0.73","0.91","1.01","1.12","1.3","38.46","61.05","64.38","63.42","58.76"
"4","0.8","1","1.1","1.19","1.33","39.29","62.55","67.13","61.43","48.92"
"big","0.82","0.98","1.07","1.16","1.29","48.94","72.9","71.72","57.72","38.62"
"","","","s","","","","","t(s)","",""
"small","0.76","0.91","1.11","1.13","1.4","33.33","40.17","48.71","53.77","48.94"
"2","0.59","0.73","0.8","0.94","1.1","23.31","37.5","38.82","45.76","41.99"
"3","0.26","0.49","0.6","0.72","0.87","9.89","23.73","27.43","29.4","28.08"
"4","0.04","0.24","0.31","0.38","0.56","1.47","10.65","13.74","14.04","14.67"
"big","-0.28","-0.17","-0.11","0.05","0.05","-11.9","-9.12","-5.21","1.76","1.11"
"","","","h","","","","","t(h)","",""
"small","0.32","0.28","0.23","0.22","-0.07","10","9","7.25","7.66","-1.76"
"2","0.34","0.3","0.25","0.17","-0.04","9.66","11.01","8.57","5.78","-1.17"
"3","0.36","0.18","0.19","0.19","-0.11","9.82","6.17","6.14","5.47","-2.54"
"4","0.27","0.17","0.12","0.18","-0.06","6.75","5.6","3.8","4.92","-1.22"
"big","0.06","0.03","0.07","0.11","-0.06","1.81","1.2","2.36","2.92","-0.96"
"","","","r","","","","","t(r)","",""
"small","-0.02","0.1","-0.03","-0.04","-0.47","-0.52","3.24","-0.86","-1.25","-11.77"
"2","0.06","0.24","0.24","0.16","-0.23","1.74","8.89","8.26","5.78","-6.18"
"3","0.08","0.21","0.24","0.22","-0.16","2.28","7.24","7.88","6.39","-3.82"
"4","0.16","0.3","0.31","0.21","-0.34","4.01","9.58","9.92","5.7","-6.42"
"big","0.3","0.31","0.25","0.08","-0.27","9.32","11.82","8.58","2.04","-4.24"
"","","","c","","","","","t(c)","",""
"small","0","0.12","0.13","0","-0.01","-0.05","2.5","2.88","0.06","-0.25"
"2","0.02","0.1","0.07","0.11","-0.07","0.4","2.55","1.65","2.5","-1.22"
"3","0.04","0.15","0.1","0.04","-0.13","0.71","3.42","2.2","0.77","-1.99"
"4","0.19","0.21","0.17","-0.01","-0.19","3.2","4.55","3.71","-0.2","-2.47"
"big","0.38","0.16","-0.08","-0.26","-0.38","7.94","4.17","-1.82","-4.54","-3.94"
