"","Low","2","3","4","High","Low","2","3","4","High"
"Small",1.04,0.78,0.91,0.95,1.02,1.04,0.78,0.91,0.95,1.02
"2",0.7,0.24,0.91,0.81,0.91,0.7,0.24,0.91,0.81,0.91
"3",0.92,0.85,0.81,0.31,0.96,0.92,0.85,0.81,0.31,0.96
"4",0.75,0.83,0.93,0.83,0.73,0.75,0.83,0.93,0.83,0.73
"Big",0.29,0.94,0.59,0.65,0.69,0.29,0.94,0.59,0.65,0.69
