"","Mean: Low","2","3","4","High","SD: Low","2","3","4","High"
"Small",0.38,0.57,0.59,0.86,1.09,8.09,7.25,6.73,6.49,6.93
"2",0.22,0.45,0.72,0.76,1.04,7.3,6.42,5.94,5.72,6.38
"3",0.11,0.5,0.57,0.83,0.8,6.69,5.64,5.24,5.08,5.99
"4",0.1,0.11,0.55,0.88,0.76,5.77,5.17,4.86,5.14,6.13
"Big",0.09,0.03,0.19,0.42,0.38,4.58,4.09,3.96,4.33,4.92
