"","low","2","3","4","high","low","2","3","4","high"
"","PanelA: Regression intercepts","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"","Three-factor: Mkt, SMB, and HML","","","","","","","","",""
"small","0.08","0.14","0.08","0.07","-0.17","1.17","2.13","1.17","1.14","-1.91"
"2","0.06","0.14","0.16","0.02","-0.23","0.81","2.39","2.62","0.38","-2.99"
"3","0.12","0.21","0.11","-0.01","-0.1","1.53","3.35","1.71","-0.18","-1.1"
"4","0.14","0.13","0.06","-0.16","-0.06","1.77","1.92","0.86","-2.05","-0.55"
"big","0.11","0.06","-0.01","-0.11","-0.22","1.5","1.07","-0.17","-1.36","-1.64"
"","Four-factor: Mkt, SMB, HML, and CMA","","","","","","","","",""
"small","0.08","0.12","0.05","0.07","-0.2","1.15","1.85","0.72","1.08","-2.19"
"2","0.06","0.14","0.16","0.01","-0.23","0.8","2.28","2.6","0.2","-2.97"
"3","0.11","0.19","0.11","-0.01","-0.08","1.48","3.06","1.62","-0.09","-0.92"
"4","0.12","0.11","0.04","-0.15","-0.04","1.42","1.56","0.63","-1.83","-0.39"
"big","0.05","0.05","0.02","-0.05","-0.16","0.71","0.85","0.33","-0.66","-1.2"
"","Five-factor: Mkt, SMB, HMLO, RMW, and CMA","","","","","","","","",""
"small","0.08","0.08","0.06","0.08","0","1.23","1.17","0.88","1.31","0"
"2","0.03","0.03","0.06","-0.06","-0.14","0.43","0.58","1.02","-0.96","-1.75"
"3","0.08","0.1","0","-0.1","-0.01","1","1.66","0.08","-1.38","-0.14"
"4","0.05","-0.02","-0.09","-0.24","0.1","0.6","-0.29","-1.33","-2.99","0.9"
"big","-0.08","-0.08","-0.08","-0.09","-0.05","-1.13","-1.46","-1.39","-1.05","-0.34"
"","Panel B: Regression slopes","","","","","","","","",""
"","Three-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLt + eit","","","","","","","","",""
"","","","h","","","","","t(h)","",""
"small","0.32","0.34","0.29","0.23","-0.08","13.54","14.37","12.4","10.46","-2.33"
"2","0.35","0.35","0.28","0.21","-0.07","13.47","16.27","12.46","9.86","-2.62"
"3","0.38","0.24","0.23","0.2","-0.17","13.93","11.02","9.85","7.87","-5.21"
"4","0.35","0.27","0.2","0.18","-0.15","11.89","10.93","7.92","6.32","-3.77"
"big","0.23","0.1","0.03","-0.01","-0.23","8.87","4.89","1.41","-0.21","-4.8"
"","Four-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLt + ciCMAt + eit","","","","","","","","",""
"","","","h","","","","","t(h)","",""
"small","0.31","0.3","0.23","0.22","-0.14","10.03","9.48","7.2","7.56","-3.12"
"2","0.35","0.33","0.28","0.19","-0.07","9.99","11.67","9.33","6.49","-2"
"3","0.37","0.21","0.22","0.22","-0.13","10.21","6.97","6.99","6.24","-3.08"
"4","0.29","0.22","0.17","0.21","-0.11","7.3","6.56","4.88","5.64","-2.08"
"big","0.1","0.07","0.1","0.13","-0.1","2.96","2.62","3.41","3.23","-1.55"
"","","","c","","","","","t(c)","",""
"","Five-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLOt + riRMWt + ciCMAt + eit","","","","","","","","",""
"small","0","0.08","0.14","0.01","0.13","0.06","1.84","3.13","0.33","2.08"
"2","0","0.03","0","0.05","0","0.04","0.64","-0.1","1.27","0.09"
"3","0.01","0.08","0.02","-0.03","-0.08","0.23","1.86","0.51","-0.58","-1.2"
"4","0.14","0.12","0.08","-0.08","-0.09","2.38","2.41","1.52","-1.41","-1.1"
"big","0.29","0.06","-0.16","-0.29","-0.29","5.71","1.53","-3.52","-5.07","-3.07"
"","","","h","","","","","t(h)","",""
"small","0.32","0.28","0.23","0.22","-0.07","10","9","7.25","7.66","-1.76"
"2","0.34","0.3","0.25","0.17","-0.04","9.66","11.01","8.57","5.78","-1.17"
"3","0.36","0.18","0.19","0.19","-0.11","9.82","6.17","6.14","5.47","-2.54"
"4","0.27","0.17","0.12","0.18","-0.06","6.75","5.6","3.8","4.92","-1.22"
"big","0.06","0.03","0.07","0.11","-0.06","1.81","1.2","2.36","2.92","-0.96"
"","","","r","","","","","t(r)","",""
"small","-0.02","0.1","-0.03","-0.04","-0.47","-0.52","3.24","-0.86","-1.25","-11.77"
"2","0.06","0.24","0.24","0.16","-0.23","1.74","8.89","8.26","5.78","-6.18"
"3","0.08","0.21","0.24","0.22","-0.16","2.28","7.24","7.88","6.39","-3.82"
"4","0.16","0.3","0.31","0.21","-0.34","4.01","9.58","9.92","5.7","-6.42"
"big","0.3","0.31","0.25","0.08","-0.27","9.32","11.82","8.58","2.04","-4.24"
"","","","c","","","","","t(c)","",""
"small","0","0.12","0.13","0","-0.01","-0.05","2.5","2.88","0.06","-0.25"
"2","0.02","0.1","0.07","0.11","-0.07","0.4","2.55","1.65","2.5","-1.22"
"3","0.04","0.15","0.1","0.04","-0.13","0.71","3.42","2.2","0.77","-1.99"
"4","0.19","0.21","0.17","-0.01","-0.19","3.2","4.55","3.71","-0.2","-2.47"
"big","0.38","0.16","-0.08","-0.26","-0.38","7.94","4.17","-1.82","-4.54","-3.94"
